,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21"
"2^-8",0.696527,1.043805,1.224138,1.199131,1.471706,1.932849,2.350359,2.615234,2.677348,2.899485,2.514851,2.516971,2.193384,1.967431,1.906566,1.863636,1.975980,2.183731,1.516903,1.669173,1.534005,1.073298
"2^-7",0.771829,1.149323,1.038812,1.276091,1.600910,1.824413,2.079103,2.171831,2.125749,1.993976,2.022831,1.988131,1.845577,1.948387,1.748092,1.730887,1.594816,1.732733,1.725000,1.818301,1.554248,1.071618
"2^-6",1.003222,0.928352,1.062082,1.315589,1.527680,1.594005,1.839798,1.762742,1.685315,1.816514,1.713396,1.776386,1.887129,1.676056,1.617647,1.663158,1.781302,1.570968,1.580838,1.654912,1.535354,1.073879
"2^-5",0.917746,0.976291,1.023121,1.156010,1.326466,1.414508,1.520548,1.468172,1.276923,1.393443,1.778004,1.621094,1.550000,1.582897,1.559715,1.549565,1.613240,1.701874,1.536278,1.874359,1.490706,1.000000
"2^-4",0.839130,0.947308,1.036775,1.082919,1.256917,1.156556,1.272545,1.251163,1.177122,1.235849,1.450704,1.572052,1.634146,1.682081,1.540230,1.479428,1.518248,1.467005,1.570458,1.634085,1.510740,1.106101
"2^-3",0.763889,0.904153,1.023810,1.064762,1.102970,1.137931,1.099602,1.092486,1.357798,1.083857,1.720588,1.387755,1.473161,1.496377,1.494545,1.492806,1.489286,1.504638,1.499195,1.673657,1.481297,1.010076
"2^-2",0.695205,0.982014,0.910190,1.076404,1.044625,0.980080,1.024440,1.141372,1.052885,1.065844,1.538462,1.458418,1.648019,1.372414,1.487179,1.500000,1.482883,1.551985,1.562724,1.650259,1.548512,1.000000
"2^-1",0.779468,0.784672,0.943844,1.000000,0.950820,1.056399,0.945841,1.032941,0.911765,0.897810,1.561039,1.504000,1.819095,1.457249,1.488636,1.478821,1.548094,1.350993,1.505051,1.542857,1.449080,1.165498
"2^-0",0.721239,0.815451,1.079665,1.084633,0.908000,1.153846,0.975258,1.036952,0.995455,0.896243,1.775194,1.638695,1.627907,1.618474,1.486692,1.493359,1.341060,1.358209,1.473950,1.641318,1.549020,1.000000
