,"0","1","2","3","4","5","6","7","8","9","10"
"10^7",1.002551,0.988167,0.993916,0.956023,0.979669,1.001645,1.005361,1.001982,1.004494,1.034620
"10^6",1.020018,11.419812,15.629987,16.154922,16.015827,15.831989,15.631645,15.756093,15.726000,16.152420
"10^5",1.014197,7.739321,7.841466,7.839752,7.804535,7.985195,7.956352,8.002781,8.020134,8.180796
"10^4",0.997693,7.989060,8.108950,8.050316,8.059002,7.896893,8.162780,8.234954,8.300679,8.185203
"10^3",0.998408,5.381116,5.380462,5.354485,5.377661,5.724090,5.332045,5.388374,5.329873,5.351697
"10^2",1.005898,3.818010,4.012357,4.090038,4.154854,4.087579,4.200928,4.311510,4.186202,4.228311
"10^1",1.000248,3.399601,3.622959,3.642568,3.616646,3.639390,3.607479,3.929439,3.647089,3.611944
"10^0",1.000429,4.700767,5.731111,5.764706,5.741500,5.762113,5.807623,5.740545,5.546868,5.610844
