,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19"
"2^-8",0.668128,1.068000,1.142268,1.189911,1.480969,1.723312,2.050279,2.592308,2.220588,2.600000,2.967742,2.127119,1.876033,1.949309,2.092784,1.806122,1.696078,1.615385,2.343590,1.453039
"2^-7",0.740433,1.066187,1.009331,1.247289,1.639752,1.812030,1.706349,1.801932,2.405797,2.093168,2.157143,1.670270,1.860759,1.683673,1.314050,1.815642,1.571429,1.566265,1.476744,1.243094
"2^-6",6.885057,6.190476,6.452381,5.097561,2.560976,3.424242,3.923077,4.245902,3.082840,5.085470,5.448276,3.867470,7.807018,5.870130,4.862857,5.161491,4.047059,3.835294,3.551724,0.875000
"2^-5",14.400000,3.795181,3.666667,3.527473,1.573248,2.400000,1.497238,1.975610,3.701754,2.563107,3.614379,3.790419,7.035714,4.617978,4.488095,4.554217,4.737931,3.927711,4.023256,1.619048
"2^-4",0.780303,1.040816,0.787037,1.162162,1.315789,1.146667,0.864407,2.500000,1.250000,1.350000,0.897436,1.153846,1.689655,1.517986,1.485714,1.500000,1.485714,1.471429,1.434211,1.132597
"2^-3",0.976331,0.904255,1.430556,1.071429,1.943396,1.000000,1.215385,1.179104,0.679012,1.338983,0.945055,1.341176,1.352941,1.157895,1.274112,1.104712,1.632911,1.298701,1.407895,1.397790
"2^-2",1.024390,1.016667,1.213592,0.636364,1.222222,1.261682,1.590476,2.189655,2.425926,2.443182,2.323232,5.600000,4.938272,4.804878,5.263889,4.365854,3.361809,3.686747,3.305882,1.034884
"2^-1",0.875648,0.750000,0.820225,1.000000,1.017544,1.027778,1.080000,1.958904,1.457627,1.241758,1.547170,1.473684,1.526316,1.391061,0.859649,1.470588,1.817518,0.970588,1.426667,1.211111
"2^-0",0.585714,0.771429,0.837838,1.037037,0.648649,1.000000,1.022472,0.657143,2.438596,0.983051,1.166667,1.456140,1.333333,1.492537,1.105263,1.338624,1.322917,1.042105,1.378049,1.000000
