,"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"2^-8",5.464937,9.704885,8.094050,9.031299,6.824873,5.609127,5.907973,5.491910,5.585629,5.556268,6.038624,6.152591,7.079174,7.469165,8.022660,8.093631,8.191780,8.265962,8.803103,8.169648,7.561282,0.984363
"2^-7",22.352754,11.746223,11.770529,9.303270,6.727070,5.173023,4.777849,4.704119,4.235763,4.507694,5.081303,4.906098,5.959067,6.029128,6.336493,6.142513,6.492734,6.965987,10.004730,7.817042,7.099229,0.874918
"2^-6",16.698081,13.048548,8.190777,4.987456,4.312904,3.955622,3.588755,3.493057,3.477920,3.657634,3.277840,3.453286,4.395223,4.817859,4.808332,4.836682,4.824549,5.779237,10.947572,8.610264,7.151495,0.974116
"2^-5",8.542350,4.995300,4.429343,3.015571,2.999462,2.497424,2.907671,2.450409,3.430549,4.427031,3.526409,3.543815,4.406682,4.760388,4.691486,4.711770,4.625348,6.477417,12.499520,8.918640,6.936794,0.924168
"2^-4",3.473687,2.731097,2.421902,2.225093,2.087661,1.973042,2.230543,1.849467,2.969229,2.475108,3.632318,3.899456,4.514173,4.520783,4.151633,3.563276,4.611216,5.851658,12.387078,8.918064,7.273983,1.019630
"2^-3",2.140849,1.851285,1.760780,1.603457,1.550286,1.550808,1.831514,2.065736,1.833545,3.681650,1.894199,4.306491,4.892729,4.896103,4.473316,4.059597,3.451352,4.311454,12.637614,8.992286,6.959963,1.066314
"2^-2",1.557845,1.410781,1.399672,1.328173,1.296281,1.286283,1.318725,1.771737,2.417234,2.242708,3.270517,2.092743,5.009644,4.958982,4.587403,4.157759,3.453960,4.258029,12.322828,8.945302,6.973699,1.026963
"2^-1",1.260119,1.238316,1.207694,1.180196,1.180902,1.202187,1.241010,1.670887,2.287365,2.146501,3.264078,3.267895,3.164007,5.077331,4.614422,4.113078,3.337808,4.155428,12.079081,8.557047,7.561152,1.034711
"2^-0",1.139095,1.091659,1.097523,1.087009,1.110761,1.096051,1.191244,1.639259,2.243739,1.976058,3.159328,3.410407,3.123444,5.107132,4.594792,4.110810,3.432664,4.070927,11.927734,9.015749,7.395756,0.947294
