,"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"2^-8",0.702114,1.054902,1.196292,1.198304,1.486111,1.995666,2.329011,2.574679,2.623913,2.877922,2.400932,2.558546,2.115000,1.908434,1.804762,1.866499,1.840506,1.849246,1.460251,1.670854,1.815203,1.070773
"2^-7",0.777872,1.137134,0.983721,1.287026,1.631336,1.890185,2.032258,2.260163,2.253373,2.083591,2.135220,1.838889,1.862442,1.834835,1.720827,1.731250,1.625869,1.567416,1.747445,1.664981,1.700654,1.064085
"2^-6",1.017316,0.920886,1.045169,1.310019,1.552133,1.653793,1.702290,1.726667,1.693662,1.683112,1.817857,1.787004,1.742160,1.623946,1.606852,1.598039,1.607083,1.466563,1.475483,1.618742,1.464373,1.070773
"2^-5",0.951257,0.937086,1.113208,1.302425,1.606667,1.252046,1.394511,1.290155,1.441558,1.322936,1.811966,1.473968,1.721992,1.547619,1.560976,1.542314,1.537786,1.523077,1.517241,1.659873,1.305376,0.869658
"2^-4",0.853933,0.940571,1.032215,1.222621,1.248031,1.125000,1.356481,1.253521,1.074205,1.102345,1.359155,1.604555,1.662626,1.754797,1.545106,1.541985,1.515901,1.307190,1.516129,1.649874,1.592405,1.016129
"2^-3",0.774687,0.886329,0.943485,1.128302,1.127310,1.182979,1.158458,1.137255,1.099138,1.093897,1.330206,1.501062,1.508264,1.545794,1.622568,1.485612,1.483005,1.593284,1.508475,1.673657,1.535354,0.969121
"2^-2",0.726813,0.808130,0.897436,1.011516,1.037657,1.134831,1.027451,1.055437,1.233010,1.026608,1.761394,1.458078,1.621176,1.332784,1.519685,1.490637,1.503759,1.452297,1.534247,1.710660,1.560944,1.000000
"2^-1",0.697318,0.819820,0.857143,0.933610,0.957173,1.062361,1.046025,1.034707,1.178117,0.995798,1.671533,1.616092,1.647482,1.596623,1.666667,1.481618,1.473779,1.467626,1.493289,1.648101,1.537879,1.002685
"2^-0",0.714912,0.930894,0.858012,0.955556,1.100228,1.100251,1.053812,0.984536,0.915596,1.162730,1.438178,1.725888,1.518692,1.426117,1.499040,1.494297,1.543478,1.465704,1.673540,1.645161,1.458896,1.071809
