,"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"2^-8",0.685427,1.059665,1.091283,1.224714,1.493773,1.962141,2.329188,2.726537,2.815232,2.770436,2.373188,2.439040,2.196921,2.064376,1.947704,1.902061,1.882138,1.851302,1.825866,1.817743,1.799875,1.798306,1.747888,1.678888,1.541355,0.998124
"2^-7",0.777880,1.117280,1.036865,1.362475,1.680376,1.865212,3.895586,1.649633,2.296508,2.207911,2.237686,2.077250,1.928678,1.803745,1.770183,1.728702,1.703858,1.695469,1.687672,1.802969,1.799564,1.798491,1.766490,1.673180,1.538521,0.977836
"2^-6",1.000402,0.938780,1.082758,1.341221,1.554852,1.652125,1.749174,1.812333,1.844327,1.757404,1.946966,1.847668,1.746396,1.654003,1.645141,1.625400,1.610766,1.605071,1.597540,1.798754,1.840314,1.789088,1.755856,1.673575,1.544418,1.003124
"2^-5",0.915289,0.997608,1.083563,1.281817,1.418266,1.373852,1.458549,1.484184,1.487988,1.435734,1.712600,1.680894,1.635404,1.590884,1.568219,1.546968,1.563292,1.559974,1.536891,1.794330,1.795967,1.803503,1.762031,1.679577,1.544308,0.983638
"2^-4",0.856052,0.981792,1.044378,1.181997,1.240261,1.237929,1.259002,1.299716,1.283774,1.269735,1.628170,1.636586,1.585541,1.542547,1.554419,1.532395,1.536547,1.537201,1.529332,1.801700,1.805870,1.816446,1.818074,1.722534,1.693842,1.002347
"2^-3",0.766211,0.946889,1.059256,1.177110,1.112226,1.173635,1.186582,1.221225,1.197846,1.183565,1.582407,1.599582,1.548523,1.546404,1.527759,1.548121,1.526364,1.536326,1.514395,1.816828,1.818750,1.813114,1.769146,1.680864,1.544148,0.976051
"2^-2",0.720904,0.931131,1.082268,1.103284,1.118893,1.173435,1.155961,1.246354,1.145930,1.154816,1.600206,1.575922,1.563333,1.559074,1.529412,1.526598,1.534628,1.534749,1.507654,1.817716,1.806752,1.802954,1.769862,1.682675,1.550631,1.000628
"2^-1",0.680322,0.934885,1.098361,1.128055,1.158859,1.170387,1.153524,1.154196,1.099307,1.084523,1.615014,1.579876,1.576807,1.548287,1.540134,1.530434,1.538866,1.531534,1.505945,1.817280,1.834681,1.777299,1.762564,1.715958,1.565024,3.000000
"2^-0",0.775504,1.025231,1.111302,1.168762,1.174855,1.138586,1.137723,1.138587,1.116679,1.122137,1.618857,1.570116,1.560827,1.557762,1.478271,1.542527,1.549521,1.535479,1.514235,1.822735,1.820578,1.820882,1.777115,1.691360,1.000000,0.888889
