,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20"
"2^-8",4.619048,15.224852,16.165049,13.274809,12.657534,13.020000,14.218638,14.072165,13.094595,15.474708,15.156584,14.754266,15.435714,14.791667,15.014286,14.202749,13.850000,12.184211,13.432056,7.435986,0.993750
"2^-7",24.849462,19.844828,15.945205,11.214953,10.649123,9.237154,8.672000,9.164706,9.159363,9.803150,10.279693,11.180392,11.689922,11.569170,11.396825,11.031496,10.700787,10.014286,13.739927,7.398601,1.014286
"2^-6",15.506329,12.224490,8.610390,6.486911,5.434043,5.351020,5.683761,6.509259,5.357447,6.461187,6.873418,8.283333,8.052209,9.025316,8.212121,7.653543,8.255230,7.715447,15.136752,7.819188,1.032468
"2^-5",7.039216,4.899371,4.412429,3.223214,3.932735,3.555066,3.678733,3.917031,4.327586,5.293103,5.800000,7.076923,8.927273,8.906542,8.038961,7.726496,7.210084,7.929825,13.480315,7.189189,0.993174
"2^-4",2.769231,2.430000,2.407767,2.405660,2.373832,2.449541,2.466667,2.790393,3.307018,4.408696,5.430493,6.709091,7.755365,7.731278,7.654867,7.131004,6.815789,7.121739,13.642570,7.348432,1.000000
"2^-3",1.531073,1.575472,1.666667,1.654206,1.669683,1.781395,2.061611,1.884956,2.818182,3.779661,5.211982,6.262673,7.424242,7.278261,7.142222,7.027397,6.486726,6.642553,15.096491,7.749091,1.036364
"2^-2",1.009091,1.284360,1.286996,1.414747,1.357798,1.470046,1.257778,1.944206,2.794118,3.310345,3.259740,4.194444,6.046296,6.207373,5.581197,5.607143,4.914894,6.110092,14.280992,7.860294,1.000000
"2^-1",0.775785,1.056604,1.141509,1.160377,1.234742,1.318182,1.513761,1.769912,2.432432,3.560000,4.407080,5.568966,7.313901,6.729958,6.531915,6.600000,6.208889,6.211618,15.008696,8.072243,1.088235
"2^-0",0.991266,0.890909,1.027778,0.990654,1.127854,1.226415,1.225225,1.734513,2.348214,3.275862,3.412844,3.903509,5.857143,6.083333,5.660793,6.728972,6.361111,6.264957,14.230126,7.719424,0.980198
