,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21","2^22","2^23","2^24"
"2^-8",6.123902,25.180678,21.341430,17.136280,16.036685,15.953361,17.854199,18.390799,18.501205,18.789750,19.388678,19.689888,20.736031,19.626162,19.614348,19.754070,19.991479,20.206827,19.060994,18.776435,17.551363,16.956923,14.075609,13.380750,1.000440
"2^-7",33.820791,24.510986,20.039427,16.070218,13.399106,12.825606,12.593492,12.589444,12.546089,12.788586,12.927810,14.028075,15.596221,13.991513,14.792948,13.795231,15.274170,13.952281,20.051537,18.661485,17.445863,15.164467,14.487904,12.944662,1.000428
"2^-6",21.025848,15.488968,11.087177,8.358299,7.690972,7.453735,7.520851,7.674993,7.885193,8.386653,9.085537,10.461019,11.858501,11.552679,11.224962,11.934975,12.001877,13.685290,21.710364,17.916545,18.109996,16.927912,13.651395,13.416454,1.002065
"2^-5",8.676099,5.779343,4.990676,4.663132,4.552934,4.339316,4.423549,4.729595,5.170141,5.999165,7.006026,8.923794,10.719288,10.632423,9.918947,9.369347,9.871741,12.996237,23.635937,19.606731,16.647993,15.932458,14.397774,12.788109,1.093657
"2^-4",3.511093,2.992674,2.845723,2.860148,2.796085,2.827146,2.960956,3.199028,3.603741,4.532887,5.876061,8.094265,9.903763,9.735303,9.480759,8.951923,9.237001,12.755021,22.571316,19.393143,18.435038,17.638258,14.094436,12.377351,0.993382
"2^-3",1.853987,1.791692,1.994389,1.950829,1.956368,1.945372,2.119813,2.419988,2.740616,3.851965,5.610405,7.964944,9.424542,9.688062,8.949312,8.148311,8.568975,12.130191,23.341214,21.053097,17.709137,16.383758,14.079125,13.135509,1.089469
"2^-2",1.232287,1.375329,1.492399,1.497602,1.515232,1.519220,1.714908,1.973753,2.351291,3.280021,5.050693,7.755422,9.410196,10.215009,8.767978,8.832009,9.005802,11.820000,24.435321,20.249044,18.080379,16.481369,14.367717,12.642613,0.940821
"2^-1",0.955811,1.140041,1.227108,1.244088,1.284131,1.324324,1.491822,1.777089,2.459396,3.145639,4.715258,7.378505,9.601416,9.091308,8.781295,8.811916,8.847226,11.922078,23.436851,19.767281,17.754701,16.177232,14.340527,12.977178,1.226485
"2^-0",0.828848,0.981127,1.108923,1.177670,1.180630,1.239195,1.355491,1.643101,2.048661,3.200783,4.861803,7.581852,9.388285,10.626578,8.858259,8.633448,8.855443,11.876861,23.567313,19.646147,17.688139,16.521182,13.589487,13.396574,0.063123
