,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16"
"2^-8",1.000000,2.750000,3.181818,2.714286,3.125000,3.333333,3.000000,3.500000,4.125000,4.000000,4.375000,4.866667,4.176471,3.190476,4.230769,2.368421,0.800000
"2^-7",1.000000,3.666667,3.222222,3.600000,3.153846,3.727273,3.500000,3.833333,3.133333,3.714286,3.857143,3.500000,5.545455,4.692308,3.714286,3.333333,0.894737
"2^-6",1.000000,3.333333,2.400000,2.166667,2.000000,2.000000,2.666667,2.666667,2.846154,3.307692,3.000000,4.000000,4.428571,4.692308,3.375000,3.000000,1.444444
"2^-5",1.000000,1.888889,1.666667,1.461538,1.571429,1.571429,1.714286,1.857143,2.285714,2.714286,3.000000,3.285714,4.428571,4.428571,4.142857,2.666667,1.200000
"2^-4",1.000000,1.200000,0.700000,1.470588,1.210526,1.375000,1.461538,1.090909,2.125000,2.714286,3.000000,2.473684,3.666667,4.714286,3.500000,1.916667,0.882353
"2^-3",1.000000,0.636364,0.500000,1.095238,1.222222,1.142857,1.285714,2.800000,1.933333,2.111111,4.200000,2.272727,2.565217,4.692308,3.714286,2.750000,0.636364
"2^-2",1.000000,0.900000,1.117647,0.909091,0.578947,1.428571,1.571429,1.571429,2.000000,2.428571,2.714286,3.153846,3.875000,4.692308,3.923077,3.153846,2.400000
"2^-1",1.000000,0.750000,1.000000,1.181818,1.142857,1.142857,1.285714,1.833333,1.842105,2.000000,3.727273,3.833333,3.823529,2.800000,3.923077,3.333333,0.764706
"2^-0",1.000000,1.133333,1.545455,1.111111,1.133333,0.529412,1.000000,3.285714,2.166667,1.230769,2.375000,3.153846,6.090909,4.857143,2.333333,3.000000,1.909091
