,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21","2^22","2^23"
"2^-8",1.000000,23.131557,19.349566,18.507151,15.561229,16.212951,16.999152,16.770134,19.046773,18.728726,17.629336,20.862289,19.176724,17.934061,20.317678,18.641892,17.613456,19.129142,17.877946,17.668908,16.235647,14.441138,13.572782,1.000856
"2^-7",1.000000,22.104639,19.276673,15.275580,13.492165,12.211238,11.951368,11.935980,12.233249,12.734879,13.009119,13.014465,14.578840,13.952614,14.091542,13.515663,14.007968,15.379468,19.336015,19.405607,16.313472,15.198190,13.043874,1.064784
"2^-6",1.000000,13.800890,10.156550,8.154876,7.403890,7.248191,7.193088,7.184420,7.511752,8.183673,8.478216,10.107404,11.186555,11.484131,11.307197,10.851163,10.956933,12.617453,21.434211,18.189189,16.590320,13.912431,12.592056,1.000000
"2^-5",1.000000,5.941463,4.871011,4.374778,4.382302,4.191395,4.177049,4.509663,4.932109,5.679006,6.736300,8.357958,9.739651,9.825920,9.570495,9.417559,9.294118,11.864497,20.930353,19.462118,16.054795,14.569271,13.350311,1.001660
"2^-4",1.000000,2.840156,2.793103,2.839232,2.704298,2.746431,2.796706,3.064480,3.342077,4.721192,5.673034,7.267953,9.553191,9.311111,8.887974,8.487568,8.647727,10.321637,22.879151,18.226458,16.487179,14.201927,12.540116,1.001704
"2^-3",1.000000,1.765027,1.871554,1.905374,1.909624,1.937215,2.018059,2.375919,2.751678,4.120322,4.811050,7.424422,9.271106,9.044575,8.406655,8.112088,8.451706,11.779989,20.343480,19.596190,15.863986,14.326504,12.914116,0.997524
"2^-2",1.000000,1.314633,1.473905,1.458358,1.498229,1.535396,1.649014,2.132420,2.446945,3.392838,4.845070,7.200837,8.686229,8.846618,8.200673,8.271255,7.777655,12.028224,21.653435,22.171736,16.642151,14.541577,12.238710,1.000000
"2^-1",1.000000,1.063084,1.194128,1.225976,1.266512,1.312500,1.505546,1.732234,2.069318,3.541123,4.799764,7.128689,8.898204,8.544601,7.982202,7.875000,7.722375,11.779832,22.373134,21.575561,17.850889,14.619664,13.569052,0.997586
"2^-0",1.000000,0.941581,1.051826,1.142180,1.188362,1.204058,1.408853,1.627252,2.012415,3.266808,4.813397,7.219527,9.148375,8.608516,8.474178,7.998870,8.037212,11.858263,21.908102,19.509398,16.448245,13.112368,14.742883,1.000000
