,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21"
"2^-8",1.000000,16.950355,14.577778,13.322870,14.676157,14.535256,16.444828,15.438163,16.184433,16.956522,17.580756,16.519713,18.037931,17.705061,17.217241,17.348754,18.589381,16.906810,16.353043,13.479730,10.832808,1.071066
"2^-7",1.000000,24.847619,15.590164,12.909091,11.906977,11.235546,10.737166,11.375839,11.048485,10.620493,11.156556,11.111524,11.073684,12.094778,11.311111,11.633858,12.514911,13.367113,17.701349,14.897996,11.912162,1.003384
"2^-6",1.000000,13.063636,9.223684,7.472727,6.404814,6.244161,6.396061,6.703863,6.931183,7.264706,8.062500,8.141153,8.486535,10.504425,9.828025,9.879346,9.931393,10.563707,18.765432,14.914179,11.313333,1.072917
"2^-5",1.000000,5.123457,4.364829,4.122892,3.793860,4.094340,4.030837,4.263617,4.339168,4.967078,5.961145,7.152505,8.469663,8.977728,7.491089,7.874439,7.773504,9.450331,18.941545,15.209559,11.503356,0.938312
"2^-4",1.000000,2.742105,2.514706,2.592593,2.507761,2.539823,2.795455,2.784017,3.225664,3.851240,4.995536,7.523810,8.244851,7.699531,7.297593,7.587444,7.448276,8.571717,19.713348,15.043796,11.382550,0.750953
"2^-3",1.000000,1.612440,1.885000,1.831409,1.757238,1.827586,2.007481,2.423341,2.677560,3.539823,4.282276,6.485194,7.000000,7.403587,7.550976,7.534521,6.622951,8.701944,18.355102,14.936449,11.383333,1.060000
"2^-2",1.000000,1.217593,1.425428,1.466019,1.428571,1.586797,1.701124,1.816901,2.511387,3.315353,4.649038,6.659574,7.043668,7.682243,7.919908,7.241611,7.185185,8.487859,19.517699,15.636719,10.310651,1.006711
"2^-1",1.000000,1.056471,1.149533,1.198614,1.223235,1.327189,1.519016,1.857778,2.427313,3.288840,4.622166,6.472155,6.944700,7.269767,7.224771,6.926773,7.050691,8.785388,18.390593,15.490637,11.414716,0.996581
"2^-0",1.000000,0.944444,1.012903,1.083333,1.118721,1.156951,1.389610,1.524664,2.306210,3.389262,4.410377,6.572115,7.235023,6.708333,5.962185,7.055684,7.036446,8.358407,18.767442,14.537102,12.118280,0.939394
