,"10^0","10^1","10^2","10^3","10^4","10^5","10^6","10^7"
"9",0.431953,0.168639,0.239645,0.502959,1.378698,1.142012,2.710059,-0.005917
"8",0.218935,0.301775,0.393491,0.618343,1.473373,1.461538,2.431953,0.000000
"7",0.156805,0.352071,0.349112,0.928994,1.059172,1.097633,2.707101,-0.002959
"6",0.428994,0.399408,0.375740,0.772189,1.124260,1.221893,3.156805,0.029586
"5",0.337278,0.304734,0.396450,0.778107,1.150888,1.100592,2.692308,-0.286982
"4",0.281065,0.316568,0.547337,0.804734,1.218935,1.112426,2.488166,0.000000
"3",0.343195,0.313609,0.346154,0.760355,1.091716,0.928994,2.470414,0.011834
"2",0.331361,0.337278,0.461538,0.890533,1.221893,1.041420,2.686391,0.000000
"1",0.603550,0.215976,0.387574,0.792899,1.278107,1.005917,2.174556,-0.011834
