,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21","2^22","2^23","2^24","2^25"
"2^-8",0.689640,1.063220,1.228741,1.224909,1.498343,1.954910,2.346040,2.704101,2.841261,2.765873,2.653035,2.442126,2.189578,2.021168,1.946726,1.897707,1.887827,1.858862,1.817432,1.809905,1.796771,1.797069,1.758706,1.685710,1.545214,0.999378
"2^-7",0.770721,1.152392,1.015046,1.297896,1.673111,1.846149,2.130462,2.325935,2.309364,2.218138,2.216962,2.118883,1.921993,1.807488,1.761710,1.720172,1.700822,1.692251,1.692813,1.799004,1.795102,1.813525,1.817085,1.632362,1.552936,1.004209
"2^-6",1.010335,0.923948,1.080389,1.337516,1.562937,1.647216,1.773610,1.823780,1.804251,1.743091,1.934527,1.828605,1.748930,1.687584,1.650342,1.610107,1.609049,1.613989,1.605133,1.798407,1.808133,1.802535,1.758454,1.677651,1.553191,0.979994
"2^-5",0.931467,1.030698,1.095724,1.225442,1.349332,1.409374,1.465160,1.518556,1.451365,1.435962,1.712884,1.680112,1.638094,1.583950,1.566667,1.581582,1.567816,1.557508,1.549024,1.790280,1.791016,1.791611,1.757750,1.677929,1.548931,1.002192
"2^-4",0.844104,1.001902,1.048562,1.474831,1.241849,1.280641,1.278296,1.312204,1.252558,1.265597,1.608542,1.620040,1.563820,1.545722,1.537163,1.532735,1.539806,1.533687,1.526782,1.801503,1.806773,1.816261,1.822411,1.616934,1.563305,1.051791
"2^-3",0.793560,0.927384,1.060369,1.128580,1.166093,1.157330,1.187717,1.211419,1.211646,1.183767,1.590705,1.635655,1.566230,1.541922,1.537833,1.515433,1.545704,1.541109,1.525061,1.802527,1.813690,1.823660,1.771880,1.671342,1.593218,1.029626
"2^-2",0.762285,0.963064,1.040822,1.095613,1.127541,1.150036,1.160314,1.153935,1.120305,1.110823,1.604412,1.610829,1.563885,1.567593,1.525778,1.543085,1.540315,1.531628,1.512056,1.808246,1.818742,1.824269,1.789313,1.712714,1.497828,1.008876
"2^-1",0.746089,0.931442,1.079300,1.132975,1.138282,1.175281,1.169973,1.144111,1.137114,1.110153,1.627343,1.585760,1.573160,1.557041,1.537504,1.532468,1.552040,1.532517,1.526225,1.815166,1.818899,1.824402,1.771042,1.673059,1.570634,-0.100000
"2^-0",0.794320,1.061095,1.095147,1.132666,1.160037,1.182384,1.164081,1.145859,1.125111,1.093057,1.603325,1.589939,1.584498,1.557831,1.531168,1.538096,1.543779,1.528134,1.522050,1.817127,1.823548,1.819722,1.775943,1.691578,0.037037,-0.384615
