,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16"
"2^-8",0.177033,0.407407,1.000000,1.076923,1.363636,1.454545,5.000000,1.555556,1.555556,1.625000,1.555556,1.555556,1.444444,1.444444,1.444444,1.333333,1.000000
"2^-7",0.378531,0.581395,0.884615,1.043478,1.388889,0.627907,1.375000,1.375000,1.375000,1.428571,1.500000,1.500000,1.500000,1.444444,1.444444,2.250000,1.000000
"2^-6",0.226667,0.346939,0.818182,1.125000,1.153846,1.176471,0.529412,1.285714,1.285714,1.833333,1.437500,1.235294,1.692308,1.421053,1.315789,1.411765,1.055556
"2^-5",0.545455,0.913043,0.891892,0.350000,2.111111,1.062500,1.133333,1.133333,1.133333,1.000000,1.125000,1.375000,1.500000,1.444444,1.444444,1.352941,1.000000
"2^-4",0.500000,0.545455,0.875000,1.000000,1.000000,1.000000,1.166667,1.000000,1.000000,1.000000,1.375000,1.571429,1.375000,1.444444,1.444444,2.625000,1.000000
"2^-3",0.478261,0.666667,0.857143,1.000000,1.000000,1.000000,1.142857,1.000000,1.000000,1.000000,1.375000,1.571429,1.375000,1.333333,1.444444,3.250000,1.000000
"2^-2",1.833333,0.288889,0.666667,2.777778,1.153846,1.000000,1.000000,1.000000,0.437500,1.000000,1.571429,1.571429,1.375000,1.444444,1.444444,1.352941,1.000000
"2^-1",0.625000,0.750000,0.857143,1.500000,0.870968,1.153846,1.000000,1.000000,0.935484,1.000000,1.518519,1.294118,1.375000,2.000000,1.562500,1.368421,1.000000
"2^-0",0.666667,0.250000,9.666667,0.933333,0.315789,1.000000,1.142857,1.000000,1.000000,1.000000,1.571429,1.571429,1.375000,1.444444,1.444444,3.250000,1.000000
