,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18"
"2^-8",0.715405,1.106383,1.129293,1.216216,1.383901,1.361345,1.694118,1.352273,1.597015,1.538462,1.850000,1.692308,1.631579,1.538462,1.567568,1.500000,1.473684,2.235294,0.647059
"2^-7",0.728595,1.136646,1.000000,1.197425,2.037037,1.494118,1.187050,2.368421,0.935484,1.521739,1.372881,1.626866,1.588235,1.593750,1.018868,1.472222,1.444444,1.388889,2.147059
"2^-6",0.819608,0.737052,0.990521,1.153846,1.340136,1.294118,1.600000,1.790123,1.191304,1.155172,0.913043,1.548387,1.548387,1.535211,0.856000,0.812500,2.166667,1.400000,2.117647
"2^-5",0.926606,0.954198,1.031008,1.290076,0.947020,0.899371,0.600000,2.100000,1.087719,1.231405,1.500000,1.459016,1.533333,1.500000,1.470588,1.457143,0.806452,2.090909,1.200000
"2^-4",0.805310,0.624161,1.408602,1.150943,1.378378,1.409091,1.070175,1.053571,0.811321,1.066667,1.750000,1.264706,1.551724,1.515152,1.470588,1.428571,2.709677,1.139535,1.133333
"2^-3",0.741176,0.870968,0.972973,0.710843,1.062500,1.064516,1.103448,1.965517,0.735849,1.109091,1.400000,1.526316,1.517241,1.515152,1.470588,1.428571,1.428571,1.400000,1.941176
"2^-2",0.483333,1.424242,0.937500,0.833333,1.033333,1.033333,1.034483,2.000000,1.764706,0.575000,1.658824,1.298507,0.781818,1.470588,1.441176,1.470588,1.428571,1.400000,2.000000
"2^-1",0.688073,0.511628,1.338983,1.927536,1.037037,1.365854,1.018519,1.000000,1.321839,1.714286,1.260870,1.642857,2.448276,0.966667,1.434783,1.219512,2.704918,1.139535,1.591549
"2^-0",0.675676,0.750000,1.627451,0.370079,1.035714,1.000000,0.527273,1.035714,0.966667,1.612245,0.767857,1.678571,1.571429,2.482759,0.960784,1.470588,1.428571,2.354839,1.313725
