,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21","2^22"
"2^-8",0.685309,1.053999,1.190424,1.228133,1.469410,1.927729,2.364303,2.560408,2.607375,2.682692,2.635897,2.433204,2.218873,2.049032,1.938413,1.868801,1.811206,1.840525,1.777570,1.762563,1.635640,1.541535,0.976730
"2^-7",0.781457,1.144832,1.031659,1.298324,1.659891,1.833573,2.164198,2.335286,2.204494,2.107477,2.192277,2.159734,1.986122,1.730548,1.705969,1.701859,1.672489,1.697101,1.706638,1.763889,1.691913,1.539623,1.042553
"2^-6",1.014770,0.923217,1.095506,1.290383,1.526254,1.582039,1.755731,1.748752,1.717857,1.740375,1.851217,1.884652,1.744539,1.647887,1.641047,1.605111,1.593622,1.583942,1.598954,1.723668,1.777568,1.557072,1.008739
"2^-5",0.925783,0.998292,1.066667,1.253269,1.373729,1.368421,1.473077,1.411483,1.554371,1.393281,1.689861,1.767932,1.665294,1.557545,1.474916,1.593116,1.543723,1.608177,1.561375,1.721976,1.697007,1.400460,1.025445
"2^-4",0.847098,0.953865,1.077816,1.212329,1.174688,1.275796,1.232232,1.303233,1.285073,1.145641,1.560729,1.577778,1.490040,1.490733,1.540293,1.510753,1.446337,1.531278,1.538710,1.749512,1.680635,1.548550,1.004981
"2^-3",0.787482,1.642735,0.873684,1.084666,1.159672,1.161530,1.158068,1.240720,1.121413,1.169381,1.678967,1.572376,1.614365,1.506812,1.549575,1.504186,1.420608,1.529778,1.470958,1.748412,1.652439,1.574132,1.029563
"2^-2",0.759292,0.910092,0.994439,1.071713,1.100750,1.061792,1.135440,1.168514,1.053937,1.004310,1.382470,1.696790,1.638889,1.566440,1.516981,1.508475,1.419775,1.474245,1.526667,1.741313,1.697995,1.651134,1.034951
"2^-1",0.684623,0.946638,1.066210,1.043764,1.039501,1.078475,1.448319,1.111237,0.985626,0.979123,1.395010,1.521643,1.688485,1.556202,1.453237,1.492137,1.483960,1.516423,1.500824,1.741357,1.694566,1.543849,0.929234
"2^-0",0.764957,0.935632,1.071759,1.057937,0.989130,1.058296,1.095460,0.974054,1.022917,1.124861,1.578571,1.628019,1.521739,1.569990,1.513761,1.472761,1.482126,1.476103,1.466830,1.686150,1.560000,1.503427,0.972170
