,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21","2^22","2^23","2^24"
"2^-8",0.686634,1.034020,1.195851,1.251005,1.486860,1.953993,2.335765,2.670349,2.823272,2.741387,2.559786,2.435602,2.193579,2.055055,1.973629,1.928594,1.869110,1.845300,1.813163,1.787972,1.796077,1.759644,1.676603,1.540976,0.999676
"2^-7",0.773492,1.124794,1.018687,1.292855,1.664382,1.853291,2.154133,2.318725,2.285070,2.198546,2.192231,2.113154,1.937964,1.835827,1.787443,1.726230,1.720583,1.684077,1.693073,1.789014,1.801452,1.756672,1.680118,1.543394,0.999059
"2^-6",1.006697,0.922626,1.080683,1.315119,1.533768,1.638903,1.797881,1.849482,1.800281,1.744452,1.925387,1.852512,1.741343,1.651667,1.666667,1.653342,1.624662,1.702878,1.603722,1.706549,1.798929,1.752960,1.666359,1.528629,0.963007
"2^-5",0.944739,1.007336,1.073482,1.273209,1.416985,1.389077,1.453352,1.502880,1.445953,1.422948,1.684224,1.671824,1.624628,1.596213,1.596035,1.596243,1.555867,1.545493,1.555599,1.787898,1.786426,1.733477,1.679826,1.540994,1.001911
"2^-4",0.896925,0.978365,1.055354,1.189496,1.255933,1.228279,1.277304,1.276049,1.284835,1.320330,1.544668,1.624454,1.628571,1.574492,1.566811,1.537327,1.511058,1.502504,1.518133,1.785424,1.776138,1.782459,1.647938,1.558824,1.018859
"2^-3",0.845552,0.948210,1.076940,1.085818,1.151390,1.138875,1.208057,1.184063,1.165552,1.172504,1.606691,1.590164,1.533693,1.528206,1.527143,1.509124,1.530427,1.489520,1.515096,1.783352,1.794953,1.751766,1.682408,1.537424,0.999065
"2^-2",0.729194,0.907650,1.019417,1.103420,1.109529,1.119261,1.144342,1.190869,1.112196,1.100607,1.602560,1.564348,1.580017,1.579359,1.537780,1.536063,1.529562,1.513354,1.524019,1.787369,1.818386,1.757240,1.625756,1.543502,1.000313
"2^-1",0.760620,0.987709,1.024631,1.142515,1.138480,1.167753,1.129651,1.153245,1.129246,1.090909,1.632156,1.564322,1.567693,1.541528,1.559441,1.544727,1.589965,1.478506,1.507390,1.786552,1.825503,1.810561,1.633186,1.526120,1.019448
"2^-0",0.949585,1.010547,1.086470,1.141964,1.162516,1.111475,1.130266,1.114370,1.145895,1.043734,1.485214,1.607745,1.618848,1.564053,1.545630,1.542267,1.526390,1.506887,1.518254,1.784414,1.813738,1.761754,1.683195,1.534022,-0.253012
