,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17"
"2^-8",0.716814,0.438202,0.479675,0.704545,1.123077,1.391304,1.578947,1.611111,1.647059,1.555556,1.588235,1.529412,1.529412,1.470588,1.470588,1.470588,1.411765,1.761905
"2^-7",0.722054,0.839080,0.541667,0.855422,2.050000,0.493671,1.437500,6.250000,1.312500,1.333333,3.000000,1.754717,0.616438,1.470588,1.470588,1.470588,1.411765,1.000000
"2^-6",0.967742,1.012739,0.488372,0.980952,2.473684,2.935484,3.068966,0.942857,1.258065,1.214286,1.466667,1.466667,1.533333,1.470588,3.058824,1.470588,2.419355,1.027778
"2^-5",1.690909,0.895652,0.559322,1.235294,1.062500,1.066667,1.115385,1.196721,1.071429,1.066667,1.500000,1.466667,1.466667,1.470588,1.470588,1.411765,2.476190,1.000000
"2^-4",0.408000,0.893617,0.914894,0.941176,1.178571,0.859155,4.000000,0.934426,1.066667,1.066667,0.818182,1.500000,1.466667,3.266667,0.657895,1.411765,1.411765,1.000000
"2^-3",1.717949,0.295238,0.968750,0.968750,0.833333,4.294118,0.750000,1.033333,1.105263,0.388889,1.428571,4.043478,0.781250,1.388889,1.470588,1.750000,1.586207,1.088235
"2^-2",0.666667,0.875000,0.875000,1.000000,1.000000,1.000000,0.934426,1.034483,0.901639,1.105263,0.545455,1.500000,1.571429,1.411765,1.411765,1.411765,1.411765,1.000000
"2^-1",0.733333,0.806452,0.866667,0.933333,1.000000,0.428571,0.447368,0.828571,2.636364,1.000000,1.571429,0.636364,1.571429,1.787879,1.545455,1.666667,1.631579,0.447368
"2^-0",0.666667,0.785714,1.000000,1.000000,0.928571,1.000000,1.000000,1.000000,1.000000,1.000000,1.428571,1.500000,3.750000,1.376812,1.666667,1.561404,1.548387,0.400000
