,"2^-0","2^-1","2^-2","2^-3","2^-4","2^-5","2^-6","2^-7","2^-8"
"2^0",0.725739,0.747793,0.775164,0.840538,0.942244,1.125721,1.529425,1.921310,2.332330
"2^1",0.899841,0.924195,0.955188,1.012571,1.123608,1.366311,1.832914,2.400134,2.778876
"2^2",1.042131,1.044892,1.086972,1.145719,1.264668,1.497945,1.919733,2.670373,3.275341
"2^3",1.072052,1.077514,1.100931,1.161913,1.286291,1.533384,1.958795,2.791606,3.550473
"2^4",1.010692,1.032077,1.062299,1.125594,1.237598,1.476919,1.959259,2.812452,3.737666
"2^5",1.011704,1.029797,1.092724,1.151391,1.266012,1.503108,1.989360,2.925375,4.197251
"2^6",1.014570,1.046204,1.076269,1.145026,1.277268,1.561848,2.079875,3.073920,4.724277
"2^7",0.998160,1.017240,1.066732,1.135033,1.272260,1.581820,2.104472,3.177167,5.007840
"2^8",1.009882,1.029266,1.047847,1.128818,1.271828,1.549792,2.081247,3.173151,5.069835
"2^9",1.037165,1.054027,1.085302,1.159482,1.302500,1.567702,2.112468,3.206011,5.182965
"2^10",1.069368,1.098842,1.117168,1.204876,1.327328,1.599077,2.117548,3.240467,5.181593
"2^11",1.207749,1.210025,1.251150,1.324235,1.485986,1.729161,2.233661,3.266306,5.258754
"2^12",1.356179,1.365780,1.413993,1.471440,1.620136,1.881581,2.367066,3.416942,5.321298
"2^13",1.360091,1.381183,1.429536,1.471568,1.608668,1.860682,2.396895,3.411507,5.307517
"2^14",1.333006,1.345330,1.373591,1.461239,1.624927,1.844277,2.348036,3.380475,5.292671
"2^15",1.318598,1.328887,1.366688,1.416055,1.559561,1.826799,2.364962,3.368374,5.281731
"2^16",1.447972,1.462725,1.483668,1.581025,1.740250,2.028361,2.571197,3.689251,5.299374
"2^17",4.535437,4.452301,4.385809,4.565805,4.570872,4.573686,4.777229,5.081433,5.385502
"2^18",5.157674,5.090759,5.107261,5.151455,5.111192,5.028313,5.023050,5.077706,5.028218
"2^19",4.218921,4.144921,4.161993,4.241797,4.253009,4.199974,4.160217,4.223490,4.166645
"2^20",1.748669,1.740247,1.743719,1.744523,1.746107,1.762616,1.731583,1.752577,1.756621
"2^21",0.997874,0.983794,0.991800,1.010410,1.001962,1.002102,0.998019,1.006117,1.006111
