,"2^-0","2^-1","2^-2","2^-3","2^-4","2^-5","2^-6","2^-7","2^-8"
"2^0",0.759534,0.794955,0.823599,0.888012,1.029668,1.265469,1.759160,2.285377,2.699682
"2^1",0.911861,0.952927,0.971018,1.049515,1.191264,1.445251,2.024528,2.772981,3.153364
"2^2",1.034888,1.038007,1.086168,1.154857,1.293356,1.568875,2.075092,2.947392,3.200000
"2^3",1.072234,1.090077,1.110874,1.178869,1.307493,1.563559,2.067814,2.992403,3.400000
"2^4",1.022529,1.070455,1.070637,1.130997,1.253813,1.529243,2.017024,2.964295,3.763134
"2^5",1.026340,1.013146,1.078308,1.156257,1.271566,1.513266,2.005527,2.963729,4.157163
"2^6",1.020204,1.081266,1.071049,1.149511,1.272843,1.516286,2.033185,3.015166,4.455768
"2^7",1.014124,0.992909,1.063403,1.152329,1.249112,1.530742,2.064856,3.032068,4.654405
"2^8",1.014009,1.017797,1.065985,1.124033,1.260640,1.540634,2.083331,3.127394,4.870064
"2^9",1.063828,1.084099,1.115932,1.185958,1.317201,1.594098,2.132671,3.234552,5.140554
"2^10",1.187153,1.201424,1.238556,1.340399,1.457707,1.755624,2.319683,3.440810,5.508705
"2^11",1.539454,1.594681,1.556587,1.631247,1.783546,2.064843,2.612829,3.776070,5.879257
"2^12",1.743477,1.782497,1.810091,1.890941,2.022346,2.323439,2.912019,4.014931,6.198733
"2^13",1.736419,1.756030,1.803472,1.886355,2.011740,2.319886,2.934613,4.105957,6.232203
"2^14",1.718721,1.732757,1.806215,1.888200,2.004922,2.314356,2.980223,4.128106,6.302893
"2^15",2.002967,1.930838,1.950374,2.007075,2.119494,2.390852,3.250790,4.601918,6.423740
"2^16",3.413651,3.576515,3.274585,3.411231,3.293542,3.630058,4.838715,5.890766,6.621717
"2^17",6.685144,6.542116,6.882293,6.572187,6.527867,6.508111,6.416979,6.646759,6.608411
"2^18",6.628186,6.550255,6.496284,6.507104,6.554228,6.570589,6.398428,6.339486,6.326235
"2^19",6.300864,6.186991,6.130695,6.174360,6.178085,6.215520,5.798163,6.110134,6.104687
"2^20",6.065985,6.017671,5.803981,5.823343,5.915296,5.930420,5.816129,5.818069,5.836407
"2^21",5.644016,5.612779,5.470869,5.528246,5.532848,5.530302,5.446076,5.498401,5.378274
"2^22",4.940731,5.051988,4.975462,4.952842,4.975240,4.976055,5.054309,4.874484,4.931985
"2^23",4.163332,4.209813,4.160199,4.166622,4.184884,4.167790,4.141534,4.170415,4.076010
"2^24",1.162866,3.122365,3.067840,3.112125,3.121586,3.112324,3.127264,3.145816,3.094685
"2^25",0.391304,1.800000,0.996365,0.998500,1.001695,0.999516,1.003093,0.993198,0.994653
