,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20"
"2^-8",1.419696,14.708755,13.532683,11.120814,8.647959,6.756193,5.999995,5.384594,5.069220,5.883972,6.465396,5.911114,6.820432,7.509035,7.071244,7.512651,7.596399,7.674130,7.577057,5.716263,0.903863
"2^-7",1.343558,17.839456,15.920580,8.596526,6.728841,5.121016,3.683681,3.442826,4.604041,4.415159,4.347907,4.801722,7.463715,6.288788,5.980512,6.525674,8.164874,6.130828,8.895722,5.436414,1.014286
"2^-6",0.991507,13.378262,7.848408,4.825053,3.391169,3.206883,3.766069,3.969619,2.853967,3.564303,3.696746,4.743447,4.722603,5.466037,5.143115,4.723800,5.253328,5.276004,11.869460,5.236704,1.022492
"2^-5",1.099485,5.290609,3.989212,2.392282,3.337413,2.991041,2.147315,2.764335,4.267481,3.388130,2.724242,4.072715,4.955226,6.986324,5.686094,6.124227,4.425702,5.494808,10.334908,4.139230,0.925458
"2^-4",1.213542,2.677119,2.341437,2.231434,2.030251,1.826915,1.888165,2.303479,2.846911,3.668304,3.634582,4.977713,4.950233,5.069092,4.972087,5.120092,4.533143,4.759077,9.213164,4.817032,0.923469
"2^-3",1.406780,1.809221,1.940476,1.421063,1.317573,1.568237,2.243518,1.700017,2.559039,3.682331,3.499688,4.151660,5.679865,5.801512,5.696143,5.198581,3.920239,5.114178,11.547914,5.666523,1.036364
"2^-2",1.451613,1.681900,1.597477,1.454881,1.265352,1.440936,1.203563,1.821598,3.121462,3.255628,2.159318,3.376660,3.888234,4.148492,3.452669,3.784131,3.284587,3.671357,8.580112,4.586046,0.823529
"2^-1",1.520833,1.528146,0.700535,1.350752,0.973267,1.306033,1.421217,2.167062,2.261735,3.560000,3.113984,3.630140,4.519336,4.397794,4.452101,4.388482,4.186787,4.229187,10.668832,5.499216,1.073463
"2^-0",1.491620,0.907484,1.063683,1.047965,0.954338,1.250114,1.000888,1.988344,2.327795,3.153400,2.884540,2.213771,2.953044,4.101295,3.748968,4.552936,3.562740,4.163667,10.139685,4.315206,0.904455
