,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17"
"2^-8",1.395062,15.365812,12.398751,7.467041,4.897260,3.753472,3.448148,3.186207,3.812857,3.627551,4.155556,3.736264,3.850427,3.691429,3.351429,2.772308,1.875000,1.011751
"2^-7",1.384937,6.107877,6.153846,4.782330,1.726079,9.935287,2.326837,0.594286,2.938776,3.589286,1.428571,2.009621,11.073430,3.445333,3.351429,2.622857,2.397436,0.714286
"2^-6",1.033333,2.532951,5.289683,1.946161,0.820061,0.768917,0.733146,3.274045,3.217338,3.038540,2.156020,2.462121,3.647343,3.540690,1.611264,2.574286,1.358095,1.297297
"2^-5",0.591398,1.704139,3.680927,1.538095,1.625668,1.640625,1.203941,1.726941,2.333333,3.013393,2.722222,2.609718,3.454545,3.853333,3.351429,2.754630,1.447115,1.083333
"2^-4",2.450980,1.702899,1.355349,1.872024,1.037037,1.701135,0.410000,1.739035,2.812500,3.281250,4.390947,2.037037,3.762626,1.712018,7.491429,2.564655,2.276786,1.083333
"2^-3",0.582090,4.677419,1.032258,1.527742,1.613793,0.454664,2.051282,1.728111,1.778325,6.221198,2.250000,0.971582,5.920000,4.026667,3.351429,2.057143,2.026398,0.918919
"2^-2",1.500000,0.928571,1.142857,1.153846,1.076923,1.222222,1.528822,1.611111,2.297403,2.714286,6.722222,2.619048,3.409091,2.890766,3.768333,2.597222,2.691667,1.137931
"2^-1",1.363636,1.240000,1.153846,1.275510,0.900000,3.000000,2.588235,1.584052,0.695402,3.640000,2.028409,8.642857,3.454545,2.237288,3.189076,2.160000,1.880979,2.429668
"2^-0",1.500000,0.748663,0.846154,1.240000,1.156695,1.142857,1.461538,1.666667,2.037037,2.666667,2.100000,2.571429,1.428571,3.890977,2.957143,2.561798,2.128858,2.750000
