,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19"
"2^-8",1.496720,15.129115,7.217609,6.369981,5.098503,4.476431,3.930182,3.243863,3.936986,3.171060,3.106898,4.033489,4.765769,4.044692,3.832973,4.637006,4.465385,3.829252,1.864602,0.688213
"2^-7",1.350562,12.410472,8.772310,5.657131,3.482688,2.949040,3.223256,3.144772,2.298740,2.972634,3.182704,4.487642,4.055804,4.230118,5.124109,3.304615,4.136364,3.878258,3.173581,0.804444
"2^-6",0.145242,1.515119,0.895246,0.717100,1.490909,1.067257,0.959358,0.872587,1.392581,0.919761,0.950551,1.577697,0.927023,1.175992,1.369831,1.256842,1.549527,1.495047,1.417311,1.059437
"2^-5",0.069444,1.031746,0.772302,0.720426,1.490437,0.962644,1.717449,1.293553,0.856213,1.570279,1.307040,1.536951,0.875930,1.419175,1.384354,1.433237,1.231198,1.199090,1.115198,0.617647
"2^-4",1.281553,2.166875,2.432269,1.496124,1.328224,1.576476,2.519150,0.840000,2.151724,2.621987,4.501012,4.406780,4.164777,4.281991,4.179864,4.289308,3.576087,3.316737,3.115826,0.923366
"2^-3",1.024242,1.637557,1.051810,1.184314,0.766800,1.400000,1.466053,1.532284,3.351324,2.589030,4.130158,3.921378,5.358696,5.727273,4.514518,5.195468,3.031897,3.389213,3.173349,0.770874
"2^-2",0.976190,1.053864,0.995019,1.960809,1.065180,0.957452,0.923978,0.791880,0.853187,1.363155,1.772150,0.874224,1.380344,1.286261,1.203166,1.352393,1.477379,1.218365,1.501555,1.010215
"2^-1",1.142012,1.175141,1.118420,1.016393,1.051724,1.216216,1.131687,0.920789,1.473313,2.752058,2.769188,3.477679,4.317118,4.641161,7.609249,4.142963,2.884966,4.746753,2.905487,0.850900
"2^-0",1.707317,1.106014,1.216068,0.998120,1.624256,1.205607,1.404795,2.870910,0.893371,3.454955,3.621622,3.521139,4.941964,4.462679,5.587302,4.187166,4.357573,4.039589,3.045502,0.927536
