,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21","2^22"
"2^-8",1.459197,18.478080,14.271556,15.117539,9.705379,8.229240,6.442726,7.023632,6.371568,7.343109,6.309846,8.202090,7.864979,9.718211,8.933723,10.268915,10.304426,9.756397,8.879515,9.479528,8.770162,8.554045,0.962556
"2^-7",1.279661,17.704627,15.773943,11.159918,9.353641,6.326557,5.332429,5.035196,5.355673,5.442537,5.332168,5.974721,6.869237,7.395167,8.077239,7.737016,8.782989,8.412591,11.760127,9.488525,8.540809,8.352392,0.914027
"2^-6",0.985445,14.764781,9.307701,6.006697,4.570216,4.584919,4.065421,3.852687,4.165742,4.370613,4.324212,4.936711,6.074889,6.377004,6.185358,6.152628,6.778393,8.052602,12.264238,10.183260,7.688714,8.178311,0.993044
"2^-5",1.080167,5.849014,4.536087,3.397535,2.981383,3.086582,2.837479,3.005219,3.263607,3.873914,3.643960,4.419666,5.584601,5.965791,6.262661,5.167490,6.546540,6.800902,11.848532,10.470335,8.053712,8.568611,0.971832
"2^-4",1.180501,3.073292,2.550887,2.275888,2.322876,2.015425,2.222416,2.244185,2.647796,3.960030,3.561033,4.534980,5.761782,5.504886,5.104680,5.457041,6.293812,6.283497,13.794840,10.806975,8.606074,8.235396,1.065748
"2^-3",1.269871,1.102682,2.101959,1.675474,1.610247,1.638041,1.699287,1.891959,2.656832,3.441657,2.753826,4.263755,5.324037,5.507210,4.865780,5.077506,5.076161,6.030721,15.928601,10.147442,8.033283,8.145416,0.911514
"2^-2",1.317016,1.413093,1.438954,1.294617,1.375502,1.321529,1.400644,1.751423,2.580798,4.120632,3.676865,3.765680,4.583081,5.051674,5.019499,5.541022,5.392002,6.723501,13.603569,10.414990,8.494513,8.476420,0.964711
"2^-1",1.460658,1.097277,1.115799,1.193266,1.214624,1.225728,1.025887,1.524533,2.268977,3.311291,3.169853,4.399485,4.794786,5.213850,5.005061,5.427839,5.105661,6.563894,14.135850,10.131402,8.101024,7.967050,1.076155
"2^-0",1.307263,1.033917,0.949933,1.028357,1.206133,1.120566,1.233124,1.700148,2.124393,2.849694,2.838209,4.098289,5.365867,4.996892,4.855795,5.734399,5.571056,6.576818,14.271954,10.189478,8.761034,8.689344,1.028627
