,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18"
"2^-8",1.397810,6.577991,4.923435,3.706740,4.007118,3.502505,2.864583,4.749838,4.166427,4.062500,3.523524,3.714286,3.740823,3.946429,3.803959,3.641026,2.620690,1.280399,1.708134
"2^-7",1.372506,7.284590,4.658537,3.530303,2.086364,2.454068,3.417381,1.794444,4.525287,3.195074,3.447737,3.414883,3.964335,3.576471,5.415070,3.372393,2.834543,2.085517,0.497874
"2^-6",1.220096,6.180781,3.400655,2.600000,1.757980,1.849026,1.712963,1.502497,2.835009,3.544354,4.645320,3.590833,3.898065,2.829415,7.189073,6.241758,1.597633,1.875000,0.521930
"2^-5",1.079208,2.266605,2.010820,1.162722,1.949435,2.138246,3.397436,1.165147,2.457185,2.512374,3.214815,3.346332,3.525815,4.188679,3.626667,3.612653,4.360000,1.401220,0.927673
"2^-4",1.241758,1.939445,0.893978,1.285902,1.199280,0.954394,1.274218,2.044329,3.504332,2.906250,2.135338,4.222662,3.260697,3.397059,3.463750,3.026154,1.497080,2.292956,0.820433
"2^-3",1.349206,1.356902,1.260482,1.507264,0.941176,1.499033,1.281250,0.885640,3.410256,2.994731,2.586207,2.559267,4.076599,4.030714,3.649333,3.684906,2.664912,2.142857,0.515152
"2^-2",2.068966,0.650118,1.102825,1.506383,1.001698,1.491935,1.153763,0.850877,1.399320,5.714286,2.322038,3.266350,7.863910,4.569600,3.965015,3.449455,2.725000,2.068966,0.552632
"2^-1",1.453333,1.702346,0.723497,0.421523,0.822479,0.732143,1.218809,1.727273,1.868146,1.831871,1.640904,2.711462,2.511215,6.513410,4.104377,4.352308,1.555517,2.770308,0.497028
"2^-0",1.480000,1.057471,0.640605,2.891751,0.965517,1.115385,2.625995,1.584906,2.104637,2.048006,4.744186,2.859574,3.912458,2.506173,6.129252,3.579623,2.613333,1.241923,0.761194
