,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21","2^22","2^23"
"2^-8",1.432366,21.886667,16.086293,15.112501,10.447112,8.405385,7.282405,6.282814,6.907767,6.932848,6.791717,8.472986,8.694052,8.722858,10.124291,9.809737,9.727996,10.530375,9.866894,10.039995,9.225190,8.593118,8.814524,1.015324
"2^-7",1.303430,19.664033,19.092117,11.748245,8.102970,6.509270,5.649832,5.152588,5.308456,5.871910,6.010814,6.062953,7.353822,7.636947,7.993626,7.800635,8.254803,9.112036,11.573410,10.989629,9.354557,8.982289,8.419995,0.999201
"2^-6",0.965429,14.669287,9.302563,6.127145,4.758622,4.442342,4.015693,3.951783,4.217808,4.633648,4.551812,5.331294,6.175026,6.770220,6.691547,6.654275,6.927113,8.178802,13.938680,10.896734,9.381156,8.046867,7.927413,1.042086
"2^-5",1.058487,5.946598,4.496751,3.413707,3.158696,2.976647,2.846660,3.065462,3.304134,4.124452,3.884173,4.938105,5.936352,6.137487,5.957411,5.922545,5.987630,7.705537,13.494770,11.089605,9.319640,8.715809,8.784947,1.000424
"2^-4",1.162714,2.863923,2.584139,2.426443,2.141820,2.236652,2.270694,2.513130,2.685981,3.806232,3.663398,4.472396,6.118046,5.715943,5.958506,5.502873,5.802915,7.006832,15.013164,10.574402,9.376442,8.442184,8.166356,1.025302
"2^-3",1.267110,1.243001,1.534490,1.566641,1.688492,1.607803,1.714491,1.989221,2.434277,3.679432,3.179717,4.825357,5.599256,6.059783,5.521706,5.397593,5.583762,7.821421,12.945851,11.081597,9.050002,8.532491,8.469135,1.011413
"2^-2",1.272623,1.460099,1.418977,1.294182,1.362230,1.381625,1.463570,1.876443,2.297209,3.123371,3.168957,4.568383,5.593022,5.634549,5.440000,5.521779,5.224218,8.262994,14.414286,12.593739,9.395622,9.088157,7.806851,0.963258
"2^-1",1.420110,1.187436,1.183938,1.128158,1.133195,1.222996,1.368818,1.601392,1.932306,3.265191,3.020526,4.570209,5.744988,5.317968,5.226149,5.180281,5.286985,8.029778,14.755233,12.229429,10.007222,8.587681,8.275957,0.949013
"2^-0",1.335040,0.953336,0.988549,1.029403,1.049826,1.057466,1.327573,1.511601,1.878960,3.152910,2.980941,4.672100,6.037720,5.467967,5.482086,5.224810,5.443924,7.812969,14.654945,11.090523,9.383267,7.933020,9.649996,0.971934
