,"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"2^-8",0.743690,1.035322,1.101200,1.166739,1.430806,1.944138,2.233557,2.592912,2.619131,2.668233,2.487104,2.421456,2.105184,1.989516,1.897944,1.877478,1.824517,1.810481,1.745168,1.691142,1.531198,1.007470
"2^-7",0.769329,1.098121,0.994936,1.249830,1.628492,1.836605,2.077592,2.224884,2.183881,2.144126,2.112042,2.004241,1.911877,1.793822,1.722769,1.691056,1.670739,1.651450,1.659008,1.677914,1.543377,1.110832
"2^-6",0.972902,0.890566,1.038421,1.287873,1.531284,1.605095,1.715232,1.750899,1.727107,1.688672,1.877350,1.815595,1.718107,1.657644,1.608567,1.595745,1.557997,1.586896,1.523769,1.663042,1.581708,1.004279
"2^-5",0.907176,0.973792,1.040304,1.214324,1.351515,1.383373,1.438300,1.431448,1.417151,1.387705,1.697461,1.649720,1.647661,1.576767,1.542144,1.548550,1.564734,1.536619,1.468085,1.655671,1.627845,1.035931
"2^-4",0.829342,0.933175,1.002725,1.147555,1.211627,1.217640,1.236568,1.244287,1.223244,1.222601,1.571489,1.598371,1.569231,1.531182,1.504280,1.506610,1.552972,1.477202,1.427154,1.646017,1.546012,1.015546
"2^-3",0.753793,0.898063,1.014505,1.074532,1.111022,1.125914,1.123265,1.140419,1.134895,1.127305,1.539395,1.545574,1.553064,1.502918,1.490449,1.490580,1.504320,1.511015,1.419993,1.645276,1.634506,1.021840
"2^-2",0.708376,0.890467,0.968902,1.031614,1.056749,1.079570,1.093298,1.085302,1.076224,1.060256,1.506239,1.533723,1.537287,1.503828,1.477896,1.479125,1.486200,1.480494,1.462021,1.647194,1.617586,0.982925
"2^-1",0.712502,0.857114,0.945409,1.009967,1.038153,1.034662,1.058333,1.047912,1.050287,1.038995,1.491267,1.527527,1.514248,1.494210,1.476522,1.477306,1.518505,1.484329,1.487052,1.754573,1.515688,1.022555
"2^-0",0.684211,0.851485,0.947023,1.011633,1.021595,1.047608,1.025422,1.027899,1.032801,1.015214,1.471298,1.480634,1.542492,1.479256,1.472620,1.477997,1.477601,1.483953,1.508009,1.646733,1.533094,1.059550
